Time,-0.1,-0.096,-0.092,-0.088,-0.084,-0.08,-0.076,-0.072,-0.068,-0.064,-0.06,-0.056,-0.052,-0.048,-0.044,-0.04,-0.036,-0.032,-0.028,-0.024,-0.02,-0.016,-0.012,-0.00800000000000001,-0.004,0,0.00399999999999999,0.00799999999999999,0.012,0.016,0.02,0.024,0.028,0.032,0.036,0.04,0.044,0.048,0.052,0.056,0.06,0.064,0.068,0.072,0.076,0.08,0.084,0.088,0.092,0.096,0.1,0.104,0.108,0.112,0.116,0.12,0.124,0.128,0.132,0.136,0.14,0.144,0.148,0.152,0.156,0.16,0.164,0.168,0.172,0.176,0.18,0.184,0.188,0.192,0.196,0.2,0.204,0.208,0.212,0.216,0.22,0.224,0.228,0.232,0.236,0.24,0.244,0.248,0.252,0.256,0.26,0.264,0.268,0.272,0.276,0.28,0.284,0.288,0.292,0.296,0.3,0.304,0.308,0.312,0.316,0.32,0.324,0.328,0.332,0.336,0.34,0.344,0.348,0.352,0.356,0.36,0.364,0.368,0.372,0.376,0.38,0.384,0.388,0.392,0.396,0.4,0.404,0.408,0.412,0.416,0.42,0.424,0.428,0.432,0.436,0.44,0.444,0.448,0.452,0.456,0.46,0.464,0.468,0.472,0.476,0.48,0.484,0.488,0.492,0.496,0.5,0.504,0.508,0.512,0.516,0.52,0.524,0.528,0.532,0.536,0.54,0.544,0.548,0.552,0.556,0.56,0.564,0.568,0.572,0.576,0.58,0.584,0.588,0.592,0.596,0.6,0.604,0.608,0.612,0.616,0.62,0.624,0.628,0.632,0.636,0.64,0.644,0.648,0.652,0.656,0.66,0.664,0.668,0.672,0.676,0.68,0.684,0.688,0.692,0.696,0.7,0.704,0.708,0.712,0.716,0.72,0.724,0.728,0.732,0.736,0.74,0.744,0.748,0.752,0.756,0.76,0.764,0.768,0.772,0.776,0.78,0.784,0.788,0.792,0.796,0.8,0.804,0.808,0.812,0.816,0.82,0.824,0.828,0.832,0.836,0.84,0.844,0.848,0.852,0.856,0.86,0.864,0.868,0.872,0.876,0.88,0.884,0.888,0.892,0.896,0.9,0.904,0.908,0.912,0.916,0.92,0.924,0.928,0.932,0.936,0.94,0.944,0.948,0.952,0.956,0.96,0.964,0.968,0.972,0.976,0.98,0.984,0.988,0.992,0.996,1,1.004,1.008,1.012,1.016,1.02,1.024,1.028,1.032,1.036,1.04,1.044,1.048,1.052,1.056,1.06,1.064,1.068,1.072,1.076,1.08,1.084,1.088,1.092,1.096,1.1,1.104,1.108,1.112,1.116,1.12,1.124,1.128,1.132,1.136,1.14,1.144,1.148,1.152,1.156,1.16,1.164,1.168,1.172,1.176,1.18,1.184,1.188,1.192,1.196,1.2,1.204,1.208,1.212,1.216,1.22,1.224,1.228,1.232,1.236,1.24,1.244,1.248,1.252,1.256,1.26,1.264,1.268,1.272,1.276,1.28,1.284,1.288,1.292,1.296,1.3,1.304,1.308,1.312,1.316,1.32,1.324,1.328,1.332,1.336,1.34,1.344,1.348,1.352,1.356,1.36,1.364,1.368,1.372,1.376,1.38,1.384,1.388,1.392,1.396,1.4,1.404,1.408,1.412,1.416,1.42,1.424,1.428,1.432,1.436,1.44,1.444,1.448,1.452,1.456,1.46,1.464,1.468,1.472,1.476,1.48,1.484,1.488,1.492,1.496,1.5,1.504,1.508,1.512,1.516,1.52,1.524,1.528,1.532,1.536,1.54,1.544,1.548,1.552,1.556,1.56,1.564,1.568,1.572,1.576,1.58,1.584,1.588,1.592,1.596,1.6,1.604,1.608,1.612,1.616,1.62,1.624,1.628,1.632,1.636,1.64,1.644,1.648,1.652,1.656,1.66,1.664,1.668,1.672,1.676,1.68,1.684,1.688,1.692,1.696,1.7,1.704,1.708,1.712,1.716,1.72,1.724,1.728,1.732,1.736,1.74,1.744,1.748,1.752,1.756,1.76,1.764,1.768,1.772,1.776,1.78,1.784,1.788,1.792,1.796,1.8,1.804,1.808,1.812,1.816,1.82,1.824,1.828,1.832,1.836,1.84,1.844,1.848,1.852,1.856,1.86,1.864,1.868,1.872,1.876,1.88,1.884,1.888,1.892,1.896,1.9,1.904,1.908,1.912,1.916,1.92,1.924,1.928,1.932,1.936,1.94,1.944,1.948,1.952,1.956,1.96,1.964,1.968,1.972,1.976,1.98,1.984,1.988,1.992,1.996,2,2.004,2.008,2.012,2.016,2.02,2.024,2.028,2.032,2.036,2.04,2.044,2.048,2.052,2.056,2.06,2.064,2.068,2.072,2.076,2.08,2.084,2.088,2.092,2.096,2.1,2.104,2.108,2.112,2.116,2.12,2.124,2.128,2.132,2.136,2.14,2.144,2.148,2.152,2.156,2.16,2.164,2.168,2.172,2.176,2.18,2.184,2.188,2.192,2.196,2.2,2.204,2.208,2.212,2.216,2.22,2.224,2.228,2.232,2.236,2.24,2.244,2.248,2.252,2.256,2.26,2.264,2.268,2.272,2.276,2.28,2.284,2.288,2.292,2.296,2.3,2.304,2.308,2.312,2.316,2.32,2.324,2.328,2.332,2.336,2.34,2.344,2.348,2.352,2.356,2.36,2.364,2.368,2.372,2.376,2.38,2.384,2.388,2.392,2.396,2.4,2.404,2.408,2.412,2.416,2.42,2.424,2.428,2.432,2.436,2.44,2.444,2.448,2.452,2.456,2.46,2.464,2.468,2.472,2.476,2.48,2.484,2.488,2.492,2.496,2.5,2.504,2.508,2.512,2.516,2.52,2.524,2.528,2.532,2.536,2.54,2.544,2.548,2.552,2.556,2.56,2.564,2.568,2.572,2.576,2.58,2.584,2.588,2.592,2.596,2.6,2.604,2.608,2.612,2.616,2.62,2.624,2.628,2.632,2.636,2.64,2.644,2.648,2.652,2.656,2.66,2.664,2.668,2.672,2.676,2.68,2.684,2.688,2.692,2.696,2.7,2.704,2.708,2.712,2.716,2.72,2.724,2.728,2.732,2.736,2.74,2.744,2.748,2.752,2.756,2.76,2.764,2.768,2.772,2.776,2.78,2.784,2.788,2.792,2.796,2.8,2.804,2.808,2.812,2.816,2.82,2.824,2.828,2.832,2.836,2.84,2.844,2.848,2.852,2.856,2.86,2.864,2.868,2.872,2.876,2.88,2.884,2.888,2.892,2.896,2.9,2.904,2.908,2.912,2.916,2.92,2.924,2.928,2.932,2.936,2.94,2.944,2.948,2.952,2.956,2.96,2.964,2.968,2.972,2.976,2.98,2.984,2.988,2.992,2.996,3,3.004,3.008,3.012,3.016,3.02,3.024,3.028,3.032,3.036,3.04,3.044,3.048,3.052,3.056,3.06,3.064,3.068,3.072,3.076,3.08,3.084,3.088,3.092,3.096,3.1,3.104,3.108,3.112,3.116,3.12,3.124,3.128,3.132,3.136,3.14,3.144,3.148,3.152,3.156,3.16,3.164,3.168,3.172,3.176,3.18,3.184,3.188,3.192,3.196,3.2,3.204,3.208,3.212,3.216,3.22,3.224,3.228,3.232,3.236,3.24,3.244,3.248,3.252,3.256,3.26,3.264,3.268,3.272,3.276,3.28,3.284,3.288,3.292,3.296,3.3,3.304,3.308,3.312,3.316,3.32,3.324,3.328,3.332,3.336,3.34,3.344,3.348,3.352,3.356,3.36,3.364,3.368,3.372,3.376,3.38,3.384,3.388,3.392,3.396,3.4
Significant_timepoints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holm_timepoints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_values,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,0.00544296403384389,0.005326351467257,0.00210296641510833,7.2997008125807e-05,3.78579388090236e-05,0.000561262511617931,0.00152043909896695,0.000821592758264391,0.000669869216867317,0.000738302374704354,0.000460152503799704,0.00109401002505027,0.00892900714866792,0.0148900033112911,0.00348841355445655,0.00209502439841105,0.00370204976301041,0.00238191520371535,0.00102610532224809,0.00133117202320502,0.00259052500927023,0.00554803239577396,0.00290798551112452,0.00369899454213758,0.0117860517240543,0.0188299899653376,0.00920749707722821,0.00271438903950358,0.00111584746158479,0.00202291333821211,0.0133711951527679,0.0434176557450973,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,0.0299161586369014,0.00386681589932553,0.0124437347885713,0.0331059989642817,0.009244010477146,0.00262781475091828,0.00252570576396107,0.00163929969094567,0.00178274069985889,0.00563497645730273,0.00967328588523248,0.0167652034605706,0.0387971336814582,0.048980351119698,0.0467391921698887,0.0256454892156059,0.00693539063875961,0.00744229805002074,0.0167253555785909,0.011141568606461,0.0089222360577973,0.0213997042211016,0.0359459506507434,0.0259823548867038,0.00843860145324115,0.00155383350202686,0.000100123643462266,5.65648977732257e-06,6.43270039788471e-06,0.000101467969913544,0.000243624225586557,0.000176160516187571,0.000926583446033703,0.0151864216025959,0.0244118347795828,0.0132093122138935,0.0386040675638024,N.S.,N.S.,0.0141335581778552,0.00648166397834242,0.0113421616875116,0.0319673123259062,0.0491449601682171,0.0280814884695694,0.0274347567881716,0.0468638010341934,0.0118383405208741,0.00281911235860375,0.00651564903861924,0.00640983801445473,0.00187584423532329,0.000805751553916879,0.0017020247593298,0.0156649029382514,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,0.0181228581009797,0.00557111431056754,0.00755903076751879,0.0133299867856024,0.00465557278394144,0.000974934921096556,0.00100719455922219,0.000860292354911226,0.000395253603742917,6.8901559844622e-05,1.49546253590127e-05,0.000217025258581521,0.00324534715519408,0.00162179312124044,0.00020201631905491,0.000110390898837657,0.000739056115357369,0.00446100206449299,0.00821644949126898,0.0229687308490425,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,0.00875213370179923,0.00342110417889736,0.00254736744034457,0.00275858689662952,0.00237240467907147,0.00132784847297855,0.0011731430484989,0.00153265209202005,0.00173807012298507,0.003630621507084,0.0154512264158119,0.0429925728567955,0.0315978108231866,0.0188462420727087,0.00761076971419096,0.00622290219559457,0.00462546944472958,0.0012541690145276,0.0027398974492139,N.S.,N.S.,N.S.,N.S.,N.S.,0.00778089948141795,0.00245212477745392,0.00197924576162191,0.000517978545841308,2.80854912407188e-06,8.65023301350704e-07,8.21141250068824e-06,2.14707885304363e-05,0.000201513620400018,0.0021956148278865,0.00340038340582816,0.00988323474825236,0.0262018612789278,0.0192515083577694,0.0120413881020158,0.0105757795944194,0.00715664489897463,0.00187631111491593,0.000495119791950854,0.000973637664900642,0.00421910723761286,0.00911149003794918,0.0171840036864237,0.0192124324826923,0.0104030453682421,0.0138117375867001,0.0194184442982985,0.0140249080204382,0.00575280047657684,0.00859895359995635,0.0230129809121878,0.0138801428711876,0.0019789396297306,0.000926828025990984,0.00247274982309409,0.0166768451634123,N.S.,N.S.,0.0374575836368064,0.0182965125142057,0.00579601033512647,0.00273521370109933,0.00569549324022765,0.00558828629335527,0.00378871661423565,0.0283212866803557,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.
